                     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const                ,    1.0896,    0.432,    2.520, 0.012,    0.241,    1.938
age_by10_index       ,    0.9222,    0.425,    2.171, 0.030,    0.089,    1.756
age_by10_index_square,   -0.1815,    0.081,   -2.244, 0.025,   -0.340,   -0.023
age_by10_index_cube  ,    0.0098,    0.005,    2.051, 0.041,    0.000,    0.019
edu_index            ,    0.0899,    0.020,    4.443, 0.000,    0.050,    0.130
male                 ,    0.4427,    0.217,    2.037, 0.042,    0.016,    0.869
female               ,    0.6469,    0.223,    2.904, 0.004,    0.210,    1.084
dom_situation_dummy  ,    0.0672,    0.052,    1.287, 0.198,   -0.035,    0.170
hh_members_dummy     ,    0.0672,    0.052,    1.287, 0.198,   -0.035,    0.170
hh_children_dummy    ,   -0.0584,    0.106,   -0.548, 0.583,   -0.267,    0.150
location_urban_index ,   -0.0074,    0.029,   -0.254, 0.799,   -0.065,    0.050
