,sum
avoid_busy_places,0.39706476018681075
avoid_public_places,0.5250604851400427
maintain_distance,0.35442646220605295
adjust_school_work,0.4515311779380689
quarantine_symptoms,0.2914727280078524
quarantine_no_symptoms,0.4169154520857761
no_avoidance_behaviors,-0.26479809124248044
sum,1.0
hh_id,-0.01359385251330991
age,-0.1639663939344329
female,0.08131893760354159
hh_members,0.04284810818058349
hh_children,0.005000248728038737
edu_index,0.19822778937100266
age_index,-0.17937631131117976
age_by10_index,-0.1576265114570045
dom_situation_index,0.039566977061093696
hh_members_dummy,0.039566977061093696
hh_children_dummy,0.041712861317508725
location_urban_index,0.03941011549684241
